TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_III_VL_PASSIVO;TAB_III_A_VL_PAGAR;TAB_III_A1_VL_CPRAZO;TAB_III_A2_VL_LPRAZO;TAB_III_B_VL_POSICAO_DERIV;TAB_III_B1_VL_TERMO;TAB_III_B2_VL_OPCAO;TAB_III_B3_VL_FUTURO;TAB_III_B4_VL_SWAP_PAGAR
Classe;27.635.225/0001-70;ÔNIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;27.635.377/0001-73;TURQUESA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;1916594.87;1916594.87;1916594.87;0.00;0.00;0.00;0.00;0.00;0.00
Classe;27.643.856/0001-31;BLACK BELT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;4717639.13;4717639.13;4717639.13;0.00;0.00;0.00;0.00;0.00;0.00
Classe;27.771.613/0001-89;CONQUEST BRAZIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2025-06-30;3829241.83;3829241.83;3827967.90;1273.93;0.00;0.00;0.00;0.00;0.00
Classe;27.771.731/0001-97;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS XPCE V;2025-06-30;68833.13;68833.13;68833.13;0.00;0.00;0.00;0.00;0.00;0.00
Classe;27.944.346/0001-02;QG P FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;109419.53;109419.53;109419.53;0.00;0.00;0.00;0.00;0.00;0.00
Classe;27.944.627/0001-57;RESQ II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP;2025-06-30;211984.61;211984.61;211984.61;0.00;0.00;0.00;0.00;0.00;0.00
Classe;27.944.660/0001-87;FACT LAW FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS;2025-06-30;138382.80;138382.80;138382.80;0.00;0.00;0.00;0.00;0.00;0.00
Classe;27.944.815/0001-85;PRIMEIRA LINHA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2025-06-30;498598.18;498598.18;497761.53;836.65;0.00;0.00;0.00;0.00;0.00
Classe;27.954.644/0001-75;QG DISTRESSED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;319651.30;319651.30;319651.30;0.00;0.00;0.00;0.00;0.00;0.00
Classe;27.974.792/0001-51;ÓREAS FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO;2025-06-30;32448.61;32448.61;32448.61;0.00;0.00;0.00;0.00;0.00;0.00
Classe;27.983.569/0001-70;ENERGY 21 - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;67717423.59;67717423.59;14576.63;67702846.96;0.00;0.00;0.00;0.00;0.00
Classe;27.984.240/0001-24;ALLCON PRIME FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS-RESP LIMITADA;2025-06-30;33316821.23;33316821.23;33316821.23;0.00;0.00;0.00;0.00;0.00;0.00
Classe;27.984.265/0001-28;MUNDO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS-RESPONSABILIDADE LIMITADA;2025-06-30;26243720.42;26243720.42;26243720.42;0.00;0.00;0.00;0.00;0.00;0.00
Classe;27.984.909/0001-88;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CONSORCIEI I - RESPONSABILIDADE LIMITADA;2025-06-30;1727528.25;1727528.25;1727528.25;0.00;0.00;0.00;0.00;0.00;0.00
Classe;27.985.097/0001-95;ALIANÇA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CONSIGNADOS - RESPONSABILIDADE LIMITADA;2025-06-30;679256.05;679256.05;679256.05;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.065.338/0001-40;AG 42 - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;13082882.00;13082882.00;0.00;13082882.00;0.00;0.00;0.00;0.00;0.00
Classe;28.065.377/0001-48;SERRANA - FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;4000.00;4000.00;4000.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.065.416/0001-07;SERRANA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;44238.61;44238.61;44238.61;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.075.236/0001-06;SOFISA RECEBÍVEIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;4536301.06;4536301.06;4536301.06;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.079.865/0001-04;XPLORER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;12530.80;12530.80;12530.80;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.079.873/0001-50;MULTIPLIKE INVESTIMENTOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL - RESPONSABILI;2025-06-30;16994.46;16994.46;16994.46;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.086.648/0001-41;QG PRIM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;205777.53;205777.53;205616.71;160.82;0.00;0.00;0.00;0.00;0.00
Classe;28.152.179/0001-11;DD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;19362.18;19362.18;19362.18;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.152.199/0001-92;LD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;55465.76;55465.76;55465.76;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.153.046/0001-60;BLC II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;200004972.86;200004972.86;33569.65;199971403.21;0.00;0.00;0.00;0.00;0.00
Classe;28.169.275/0001-72;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I;2025-06-30;475367410.68;475367410.68;475367410.68;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.194.790/0001-02;ATICCA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2025-06-30;1474515.70;1474515.70;1473647.17;868.53;0.00;0.00;0.00;0.00;0.00
Classe;28.194.817/0001-67;CREDVALE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2025-06-30;5924895.61;5924895.61;5924895.43;0.18;0.00;0.00;0.00;0.00;0.00
Classe;28.254.193/0001-26;BLP PRECATÓRIO III-FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS DE RESP. LIMITADA;2025-06-30;1161556.94;1161556.94;10653.78;1150903.16;0.00;0.00;0.00;0.00;0.00
Classe;28.267.746/0001-85;LEPAPIE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-06-30;586228.50;586228.50;586228.50;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.279.473/0001-99;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AUTO-HONDA;2025-06-30;2197073.73;2197073.73;2197073.73;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.296.620/0001-39;KATCH DIVERSIFIED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;141319.28;141319.28;141319.28;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.472.352/0001-69;SPS CORP I - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS;2025-06-30;40137785.46;40137785.46;40137785.46;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.472.392/0001-00;UPL 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRONEGÓCIO RESPONSABILIDADE LIMITADA;2025-06-30;10729603.83;10729603.83;10729603.83;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.474.974/0001-26;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PRECATÓRIOS SELECIONADOS II RESPONSABILIDADE LIMITADA;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.481.469/0001-09;MAJORITY - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;94045.63;94045.63;0.00;94045.63;0.00;0.00;0.00;0.00;0.00
Classe;28.492.719/0001-06;VINCI ENERGIA SUSTENTÁVEL FIDC - IS RESPONSABILIDADE LIMITADA;2025-06-30;2534318.24;2534318.24;2534318.24;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.536.554/0001-27;GÁTRIA II - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;9085263.75;9085263.75;0.00;9085263.75;0.00;0.00;0.00;0.00;0.00
Classe;28.549.910/0001-47;SGC UT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;30127.44;30127.44;30127.44;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.549.975/0001-92;AGHI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;2062133.60;2062133.60;2062133.60;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.651.441/0001-72;VERMILLION I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2025-06-30;45972.74;45972.74;45972.70;0.04;0.00;0.00;0.00;0.00;0.00
Classe;28.671.036/0001-16;WFR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  NÃO-PADRONIZADOS MULTISSETORIAL;2025-06-30;356568.06;356568.06;356568.05;0.01;0.00;0.00;0.00;0.00;0.00
Classe;28.671.081/0001-70;HERCULES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-06-30;5382303.30;5382303.30;5382303.27;0.03;0.00;0.00;0.00;0.00;0.00
Classe;28.702.814/0001-97;CREDITISE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;2520424.14;2520424.14;2520424.14;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.729.157/0001-71;FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS INTRA BLACK CREDIFACIL;2025-06-30;4034.95;4034.95;4034.95;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.796.939/0001-23;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ MULTIESTRATÉGIA I DE  RESPONSABILIDADE LIMITADA;2025-06-30;759906.66;759906.66;759906.66;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.819.553/0001-90;PÁTRIA CRÉDITO ESTRUTURADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;9802483.73;9802483.73;0.00;9802483.73;0.00;0.00;0.00;0.00;0.00
Classe;28.819.664/0001-04;TREVYS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;10244.44;10244.44;10244.44;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.849.649/0001-09;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EMPÍRICA A55 SAAS;2025-06-30;395808.48;395808.48;395808.48;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.849.674/0001-84;UPPER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;41056.87;41056.87;41056.87;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.879.529/0001-46;CREDISA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;504889.74;504889.74;504889.74;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.879.551/0001-96;NOVAX FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS;2025-06-30;975456.58;975456.58;975456.58;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.880.344/0001-51;CARAVELAS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO - PADRONIZADOS - FIDC NP;2025-06-30;2715520.87;2715520.87;2715520.87;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.880.400/0001-58;GRAN CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA;2025-06-30;1117568.46;1117568.46;1117568.46;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.903.657/0001-88;KP CP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;2488697.60;2488697.60;2488697.60;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.912.351/0001-98;SADESUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;342966.22;342966.22;342966.22;0.00;0.00;0.00;0.00;0.00;0.00
Classe;28.960.803/0001-07;M SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-06-30;3800169.32;3800169.32;299354.90;3500814.42;0.00;0.00;0.00;0.00;0.00
Classe;29.010.886/0001-36;GUARDIANS FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;58661.11;58661.11;58661.11;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.018.916/0001-50;UA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;29813.89;29813.89;29813.89;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.043.573/0001-84;MALTA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;13596.45;13596.45;13596.45;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.045.928/0001-74;PANORAMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP;2025-06-30;28611.29;28611.29;28611.29;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.077.751/0001-98;PREGUINHO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;40338.82;40338.82;40338.82;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.077.762/0001-78;VERYON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;36916.15;36916.15;36916.15;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.085.410/0001-64;NEB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;361705.63;361705.63;361705.63;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.085.424/0001-88;BH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;526997.18;526997.18;526997.18;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.109.292/0001-87;PINARELLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;1073228.48;1073228.48;1073228.42;0.06;0.00;0.00;0.00;0.00;0.00
Classe;29.109.316/0001-06;DFC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;25308.42;25308.42;25308.42;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.109.350/0001-72;JC DIVERSIFICADO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS;2025-06-30;234401.97;234401.97;234401.97;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.109.383/0001-12;CAPITAL FINANÇAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2025-06-30;1138202.42;1138202.42;1138202.42;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.152.636/0001-30;ACREDITAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA;2025-06-30;414139.51;414139.51;414131.96;7.55;0.00;0.00;0.00;0.00;0.00
Classe;29.152.737/0001-01;POUSO ALEGRE FIC FIDC MULTISSETORIAL - RESPONSABILIDADE LIMITADA;2025-06-30;10632.97;10632.97;10632.97;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.187.006/0001-00;CONTATO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2025-06-30;2349047.42;2349047.42;2349047.42;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.206.973/0001-63;VERTIGO 45 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO ECONÔMICO FINANCEIRO;2025-06-30;3319.57;3319.57;3319.57;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.225.241/0001-10;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA;2025-06-30;101144121.68;101144121.68;55641.92;101088479.76;0.00;0.00;0.00;0.00;0.00
Classe;29.226.492/0001-10;TAURUS FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZA;2025-06-30;3682536.64;3682536.64;3682536.64;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.226.634/0001-49;ARATU FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-06-30;33783.01;33783.01;33783.01;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.226.654/0001-10;INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;839355.07;839355.07;839355.07;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.226.704/0001-69;OPERA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL;2025-06-30;9176781.80;9176781.80;9176780.26;1.54;0.00;0.00;0.00;0.00;0.00
Classe;29.236.389/0001-50;TREVYS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-06-30;1176369.75;1176369.75;1176369.75;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.236.426/0001-20;SIGMA CREDIT FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-06-30;5462622.18;5462622.18;5461713.81;908.37;0.00;0.00;0.00;0.00;0.00
Classe;29.242.769/0001-06;COBUCCIO MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA FECHADA;2025-06-30;23179.62;23179.62;23179.62;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.242.877/0001-70;AVANTI MULTIPLICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;1852088.48;1852088.48;1852088.38;0.10;0.00;0.00;0.00;0.00;0.00
Classe;29.242.908/0001-93;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGORA TELECOM;2025-06-30;28221875.40;28221875.40;28221875.40;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.242.913/0001-04;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NEON FGTS;2025-06-30;351766.78;351766.78;351766.52;0.26;0.00;0.00;0.00;0.00;0.00
Classe;29.242.916/0001-30;JUNTOS CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;374823.57;374823.57;374823.56;0.01;0.00;0.00;0.00;0.00;0.00
Classe;29.242.926/0001-75;CONSIGA FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE  LIMITADA;2025-06-30;763872.63;763872.63;763872.61;0.02;0.00;0.00;0.00;0.00;0.00
Classe;29.242.992/0001-45;UNIQUE FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZA;2025-06-30;272169.49;272169.49;272169.49;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.242.999/0001-67;HOD II LONG PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;40856.55;40856.55;40846.59;9.96;0.00;0.00;0.00;0.00;0.00
Classe;29.243.004/0001-82;LIMAJ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;1632671.40;1632671.40;1632671.40;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.243.005/0001-27;MULTIFRIGO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;765770.08;765770.08;765770.08;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.249.995/0001-00;GOLDEN TREE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;27911.54;27911.54;27911.54;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.284.735/0001-76;ACREDITAR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;22176.85;22176.85;22176.85;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.284.754/0001-00;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RIOJA;2025-06-30;413426.18;413426.18;413426.18;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.284.795/0001-99;CANAVIEIRAS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS - FIDC NP;2025-06-30;23500.00;23500.00;23500.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.292.189/0001-15;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS HENDRIKSEN;2025-06-30;96631.98;96631.98;96631.98;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.292.271/0001-40;PÁTRIA CRÉDITO ESTRUTURADO FEEDER TEAM FUNDO DE INVESTIMENTO EM COTAS DE FIDC RESP LIMITADA;2025-06-30;14441.34;14441.34;14441.34;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.292.312/0001-06;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS NPL II;2025-06-30;28671415.33;28671415.33;28671415.33;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.301.202/0001-55;RSCRED MULTIESTRÉGIA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2025-06-30;409437238.52;409437238.52;409437238.52;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.319.754/0001-90;ALGARVE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;70511.68;70511.68;15171.49;55340.19;0.00;0.00;0.00;0.00;0.00
Classe;29.330.482/0001-20;YUNUS NEGOCIOS SOCIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-06-30;252749.73;252749.73;252749.73;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.461.840/0001-33;SIGMA CREDIT FEEDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;11498.07;11498.07;11498.07;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.469.420/0001-01;MULTIPLIKE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;7618732.85;7618732.85;7618732.82;0.03;0.00;0.00;0.00;0.00;0.00
Classe;29.469.886/0001-07;JC DIVERSIFICADO VI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS;2025-06-30;96257.46;96257.46;96257.46;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.492.579/0001-39;REAL TIME FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-06-30;294938.73;294938.73;294938.73;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.492.605/0001-29;GAZIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS - RESPONSABILIDADE LIMITADA;2025-06-30;13461845.39;13461845.39;13461845.39;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.492.703/0001-66;FRADINHO N FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE  LIMITADA;2025-06-30;733734.98;733734.98;733734.98;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.492.868/0001-38;MULTI RECEBÍVEIS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-06-30;768235.16;768235.16;768235.16;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.494.000/0001-77;MULTIBANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP;2025-06-30;1450575.21;1450575.21;1450575.21;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.494.026/0001-15;MULVI FIDC RESPONSABILIDADE LIMITADA - ARRANJO DE PAGAMENTOS;2025-06-30;1133518.85;1133518.85;1133518.85;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.550.273/0001-91;SPS ALPHA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;5041825.82;5041825.82;5041825.82;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.602.897/0001-05;ANDROS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;461831.15;461831.15;461831.15;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.613.776/0001-69;DAVOS ADONAI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-06-30;741621.72;741621.72;741621.72;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.665.263/0001-00;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS DE RESPONSABILIDADE LIMITADA FORTBRASIL;2025-06-30;50484.48;50484.48;0.00;50484.48;0.00;0.00;0.00;0.00;0.00
Classe;29.720.577/0001-50;FALCON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.720.582/0001-62;SG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;2635321.20;2635321.20;2635321.20;0.00;0.00;0.00;0.00;0.00;0.00
Classe;29.720.593/0001-42;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ MULTI CONSIGNADOS I RESPONSABILIDADE LIMITADA;2025-06-30;2211278.23;2211278.23;2211278.23;0.00;0.00;0.00;0.00;0.00;0.00
