TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_III_VL_PASSIVO;TAB_III_A_VL_PAGAR;TAB_III_A1_VL_CPRAZO;TAB_III_A2_VL_LPRAZO;TAB_III_B_VL_POSICAO_DERIV;TAB_III_B1_VL_TERMO;TAB_III_B2_VL_OPCAO;TAB_III_B3_VL_FUTURO;TAB_III_B4_VL_SWAP_PAGAR
Classe;09.363.400/0001-36;MERCANTIL NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS MULTISETORIAL;2025-06-30;3310612.90;3310612.90;3308701.19;1911.71;0.00;0.00;0.00;0.00;0.00
Classe;09.410.142/0001-00;TARGET FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS- MULTICREDITO;2025-06-30;1414509.25;1414509.25;1412231.42;2277.83;0.00;0.00;0.00;0.00;0.00
Classe;09.414.255/0001-75;DANIELE I - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2025-06-30;6867877.13;6867877.13;6867877.13;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.443.633/0001-49;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO III - RESPONSABILIDADE LIMITADA;2025-06-30;194890.40;194890.40;194890.40;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.520.712/0001-06;GRAN FIDC NÃO-PADRONIZADOS MULTISSETORIAL NP - GRANFIDC;2025-06-30;696867.09;696867.09;557114.76;139752.33;0.00;0.00;0.00;0.00;0.00
Classe;09.527.140/0001-97;BSPAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL;2025-06-30;156186.12;156186.12;129186.12;27000.00;0.00;0.00;0.00;0.00;0.00
Classe;09.577.075/0001-04;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BANCO GM - FINANCIAMENTO A CONCESSIONÁRIAS;2025-06-30;351350.13;351350.13;351350.13;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.609.468/0001-52;MACRO FUND - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2025-06-30;150083.50;150083.50;150083.50;0.00;0.00;0.00;0.00;0.00;0.00
Classe;09.636.040/0001-07;ATLANTIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL - RESPONSABILIDADE LIMITADA;2025-06-30;1202699.94;1202699.94;1202699.94;0.00;0.00;0.00;0.00;0.00;0.00
Classe;10.145.630/0001-08;QUATA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL;2025-06-30;9385154.64;9385154.64;9385154.64;0.00;0.00;0.00;0.00;0.00;0.00
Classe;10.237.131/0001-40;IAA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2025-06-30;11282391.00;11282391.00;11272687.80;9703.20;0.00;0.00;0.00;0.00;0.00
Classe;10.269.029/0001-27;AJAXJUD - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS DE RESPONSABILIDADE LIMITADA;2025-06-30;5945380.88;5945380.88;5945380.88;0.00;0.00;0.00;0.00;0.00;0.00
Classe;10.292.322/0001-05;KONDOR KOBOLD FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESP LIMITADA;2025-06-30;98884.19;98884.19;98884.19;0.00;0.00;0.00;0.00;0.00;0.00
Classe;10.338.491/0001-39;BELLUNO PAGAMENTOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-06-30;3298885.59;3298885.59;3297112.18;1773.41;0.00;0.00;0.00;0.00;0.00
Classe;10.434.089/0001-58;BMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL - RESPONSABILIDADE LIMITADA;2025-06-30;5566906.94;5566906.94;5566906.94;0.00;0.00;0.00;0.00;0.00;0.00
Classe;10.462.494/0001-80;PRINCIPAL CLASSE DE INVESTIMENTO EM DIREITOS CRÉDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;82719.65;82719.65;82719.65;0.00;0.00;0.00;0.00;0.00;0.00
Classe;10.509.884/0001-68;SALUS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL LP;2025-06-30;185455.89;185455.89;185455.89;0.00;0.00;0.00;0.00;0.00;0.00
Classe;10.528.349/0001-54;CREDENCIAL - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;5048106.32;5048106.32;0.00;5048106.32;0.00;0.00;0.00;0.00;0.00
Classe;10.545.253/0001-02;VISÃO MULTIMERCADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;3950106.05;3950106.05;3950106.03;0.02;0.00;0.00;0.00;0.00;0.00
Classe;10.613.882/0001-14;ROYAL BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;8438329.29;8438329.29;8438329.29;0.00;0.00;0.00;0.00;0.00;0.00
Classe;10.740.479/0001-56;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CAIXA HABITAÇÃO;2025-06-30;547514.36;547514.36;547514.36;0.00;0.00;0.00;0.00;0.00;0.00
Classe;10.756.703/0001-06;KOBOLD H FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE  LIMITADA;2025-06-30;325367.16;325367.16;325367.16;0.00;0.00;0.00;0.00;0.00;0.00
Classe;10.759.034/0001-18;PC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;696207.40;696207.40;696207.40;0.00;0.00;0.00;0.00;0.00;0.00
Classe;10.772.734/0001-42;GRANCRED SP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-06-30;123714.37;123714.37;122186.55;1527.82;0.00;0.00;0.00;0.00;0.00
Classe;10.774.307/0001-01;PLATINUM FIDC MULTISSETORIAL;2025-06-30;204551.27;204551.27;202912.90;1638.37;0.00;0.00;0.00;0.00;0.00
Classe;10.797.027/0001-00;SAFIRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2025-06-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;10.810.396/0001-96;CORPORE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-06-30;644459.05;644459.05;642547.34;1911.71;0.00;0.00;0.00;0.00;0.00
Classe;10.814.233/0001-81;BI INVEST FIDC FORNECEDORES PETROBRAS;2025-06-30;137255.80;137255.80;137255.80;0.00;0.00;0.00;0.00;0.00;0.00
