TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_X_CLASSE_SERIE;TAB_X_VL_RENTAB_MES
Classe;55.619.752/0001-27;MAX 90 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;1.42
Classe;55.626.024/0001-42;INSOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior;0.00
Classe;55.626.024/0001-42;INSOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada  |;0.00
Classe;55.626.390/0001-00;OX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior Série 1;0.00
Classe;55.626.390/0001-00;OX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;1.54
Classe;55.633.169/0001-70;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AMETISTA II - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;1.34
Classe;55.633.169/0001-70;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AMETISTA II - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 2;1.30
Classe;55.633.169/0001-70;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AMETISTA II - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;-39.16
Classe;55.633.169/0001-70;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AMETISTA II - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Mezanino 1 | Série 1;1.50
Classe;55.634.707/0001-41;CORPORATE VENTURE CAPITAL EVOLUTION FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior;0.00
Classe;55.634.707/0001-41;CORPORATE VENTURE CAPITAL EVOLUTION FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;2.34
Classe;55.635.126/0001-24;VAIL III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior;0.00
Classe;55.635.126/0001-24;VAIL III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;1.56
Classe;55.636.084/0001-46;EXPLORER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior;0.00
Classe;55.636.084/0001-46;EXPLORER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;1.82
Classe;55.651.473/0001-40;VEXO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior;0.00
Classe;55.651.473/0001-40;VEXO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;1.21
Classe;55.653.447/0001-51;TUNE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;0.00
Classe;55.653.447/0001-51;TUNE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;0.00
Classe;55.657.044/0001-80;ANIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior;0.00
Classe;55.657.044/0001-80;ANIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;1.80
Classe;55.657.825/0001-75;APOGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-06-30;Subclasse Senior Série 1;1.45
Classe;55.657.825/0001-75;APOGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-06-30;Subclasse Senior Série 2;1.40
Classe;55.657.825/0001-75;APOGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-06-30;Subclasse Senior Série 3;0.00
Classe;55.657.825/0001-75;APOGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-06-30;Subclasse Senior Série 4;1.41
Classe;55.657.825/0001-75;APOGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-06-30;Subclasse Senior Série 5;1.41
Classe;55.657.825/0001-75;APOGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-06-30;Subclasse Subordinada Mezanino 1 | Série 1;1.41
