TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_X_CLASSE_SERIE;TAB_X_QT_COTA;TAB_X_VL_COTA
Classe;58.088.190/0001-20;MAIS TODOS PF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIRO RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;2996.01050031;1245.97934807
Classe;58.088.190/0001-20;MAIS TODOS PF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIRO RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Mezanino 1 | Série 1;2990.57348335;1102.45986877
Classe;58.114.311/0001-61;CORAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior Série 1;0.00000000;0.00000000
Classe;58.114.311/0001-61;CORAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;31724.99998000;977.70853363
Classe;58.114.447/0001-71;ADIGITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE  LIMITADA;2025-06-30;Subclasse Senior Série 1;0.00000000;0.00000000
Classe;58.114.447/0001-71;ADIGITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE  LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;3187.14227340;895.12010612
Classe;58.114.784/0001-69;BOMBAIM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;6826.39695011;1100.03154005
Classe;58.114.784/0001-69;BOMBAIM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;695.88299249;1177.43314443
Classe;58.137.246/0001-90;TAGUAÍBA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CONSIGNADOS;2025-06-30;Subclasse Senior Série 1;7454.24000000;1025.72639116
Classe;58.137.246/0001-90;TAGUAÍBA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CONSIGNADOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;52.37000000;-3649.43023357
Classe;58.137.246/0001-90;TAGUAÍBA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CONSIGNADOS;2025-06-30;Subclasse Subordinada Mezanino 1 | Série 1;6908.02000000;1032.48517570
Classe;58.137.388/0001-57;MCAP I TOTAL RETURN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior Série 1;17444.74000000;1161.56000000
Classe;58.137.388/0001-57;MCAP I TOTAL RETURN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;0.00000000;0.00000000
Classe;58.148.845/0001-09;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PICPAY FGTS;2025-06-30;Subclasse Senior Série 1;699999.99999347;1076.76006434
Classe;58.148.845/0001-09;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PICPAY FGTS;2025-06-30;Subclasse Subordinada Subordinada 1 |;128022.00000000;1148.64793371
Classe;58.152.340/0001-18;MONEE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO FINANCEIRO - RESP. LIMITADA;2025-06-30;Subclasse Senior;0.00000000;0.00000000
Classe;58.152.340/0001-18;MONEE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO FINANCEIRO - RESP. LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;50.00000000;919.30660000
Classe;58.153.083/0001-39;JBA CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;0.00000000;0.00000000
Classe;58.153.083/0001-39;JBA CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;23784.36982728;1219.42423746
Classe;58.154.011/0001-06;FARMTECH KEY ACCOUNTS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO AGRONEGÓCIO - RESP LTDA;2025-06-30;Subclasse Senior Série 1;214200.00000000;1078.36299106
Classe;58.154.011/0001-06;FARMTECH KEY ACCOUNTS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO AGRONEGÓCIO - RESP LTDA;2025-06-30;Subclasse Subordinada Subordinada 1 |;18750.00000000;988.64416800
Classe;58.154.011/0001-06;FARMTECH KEY ACCOUNTS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO AGRONEGÓCIO - RESP LTDA;2025-06-30;Subclasse Subordinada Mezanino 1 | Série 1;37800.00000000;1110.38167378
Classe;58.157.393/0001-21;RAIZES CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;0.00000000;0.00000000
Classe;58.157.393/0001-21;RAIZES CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;100.00000000;665.31440000
Classe;58.157.509/0001-22;WK CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior;0.00000000;0.00000000
Classe;58.157.509/0001-22;WK CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;1029.64322790;11782.84223239
Classe;58.159.938/0001-39;MDR I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;7070.37188532;1074.91638534
Classe;58.159.938/0001-39;MDR I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;8131.01140833;1125.02599623
Classe;58.159.938/0001-39;MDR I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Mezanino 1 | Série 1;11.67870398;1095.28848594
Classe;58.171.340/0001-65;FRIMESA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior Série 1;160000.00000000;1007.92929981
Classe;58.171.340/0001-65;FRIMESA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;2000.00000000;1067.00112500
Classe;58.171.340/0001-65;FRIMESA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Mezanino 1 | Série 1;38273.40000000;1019.75756289
Classe;58.182.199/0001-04;TIVIO ALT CREDITO PADRONIZADO FI EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior S?rie 1;26282240.59540170;1.09527405
Classe;58.182.199/0001-04;TIVIO ALT CREDITO PADRONIZADO FI EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada  |;0.00000000;0.00000000
Classe;58.182.343/0001-02;SOLIS SEGURO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Senior Série 1;50000000.00000000;1.07000000
Classe;58.182.343/0001-02;SOLIS SEGURO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-06-30;Subclasse Subordinada Subordinada 1 |;0.00000000;0.00000000
Classe;58.188.881/0001-04;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MT CARTÃO CONSIGNADO I;2025-06-30;Subclasse Senior Série 1;30009.66000000;1075.51000000
Classe;58.188.881/0001-04;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MT CARTÃO CONSIGNADO I;2025-06-30;Subclasse Subordinada Subordinada 1 |;980.00000000;962.63000000
Classe;58.195.014/0001-98;CB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Senior;0.00000000;0.00000000
Classe;58.195.014/0001-98;CB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-06-30;Subclasse Subordinada Subordinada 1 |;480.00000000;865.82320833
Classe;58.199.148/0001-87;FARMTECH AGRO I FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS FIAGRO - DC RESP LTDA;2025-06-30;Subclasse Senior Série 1;84353.03866507;1085.21125731
